Chemical Name,SMILES
acetic acid bromide,CC(=O)Br
acetic acid chloride,CC(=O)Cl
acetyl bromide,CC(=O)Br
acetyl chloride,CC(=O)Cl
acetyl peroxide,CC(=O)OOC(=O)C
aluminum,[Al]
aluminum borohydride,[Al]([B])([B])[B]
aluminum hydride,[AlH3]
aluminum phosphide,[Al]#P
amyl trichlorosilane,CCCCC[Si](Cl)(Cl)Cl
anisic acid chloride,COC1=CC=C(C=C1)C(=O)Cl
anisoyl chloride,COC1=CC=C(C=C1)C(=O)Cl
antimony pentachloride,Cl[Sb](Cl)(Cl)(Cl)Cl
antimony triethyl,CC[Sb](CC)CC
antimony trimethyl,C[Sb](C)C
arsenic trichloride,Cl[As](Cl)Cl
arsenic triethyl,CC[As](CC)CC
arsenic trimethyl,C[As](C)C
barium,[Ba]
barium azide,[N-]=[N+]=[N][Ba][N]=[N+]=[N-]
barium peroxide,O[Ba]O
barium sulfide,[S][Ba]
benzoyl chloride,C1=CC=C(C=C1)C(=O)Cl
benzoyl chloride,O=C(Cl)c1ccccc1
beryllium,[Be]
beryllium borohydride,[Be]([B])[B]
beryllium hydride,[BeH2]
bismuth,[Bi]
boron,[B]
boron tribromide,B(Br)(Br)Br
boron triethyl,B(CC)(CC)CC
boron trimethyl,B(C)(C)C
bromine pentafluoride,FBr(F)(F)(F)F
bromoacetylene,C#CBr
bromoethyne,C#CBr
bromosilane,[Si]Br
butadiene,C=CC=C
butyl lithium,[Li]CCCC
cacodyl,C[As](C)[As](C)C
cacodyl chloride,C[As](C)Cl
cacodyl sulfide,C[As](C)S[As](C)C
cadmium,[Cd]
calcium,[Ca]
calcium hydride,[CaH2]
calcium hypochlorite,[Ca](OCl)OCl
calcium nitride,[Ca](N=[Ca])N=[Ca]
calcium phosphide,[Ca]=P[Ca]P=[Ca]
calcium sulfide,[Ca]=S
carbon disulfide,C(=S)=S
carbon hexachloride,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
cerium,[Ce]
cerium nitride,N#[Ce]
cesium,[Cs]
cesium hydride,[CsH]
cesium oxide,[Cs][OH][Cs]
charcoal,[C]
chlorine trifluoride,FCl(F)F
chloroacetylene,C#CCl
chloroethyne,C#CCl
chlorosulfonic acid,OS(=O)(=O)Cl
chromium,[Cr]
chromyl chloride,[Cr](O)(O)(Cl)Cl
cobalt,[Co]
cobalt abietate,CC(C1=CC2=CCC3C(CCCC3(C(C)=O)C)(O[Co]OC(C4CC5)(CCCC6(C(C)=O)C)C6CC=C4C=C5C(C)C)C2CC1)C
copper,[Cu]
deuterium,[HH]
diacetylene,C#CC#C
diborane,BB
dibutyl magnesium,CCC[CH2][Mg][CH2]CCC
diethyl aluminum chloride,CC[Al][Cl]CC
diethyl arsine,CC[As]CC
diethyl cadmium,C[CH2][Cd][CH2]C
diethyl dichlorosilane,CC[Si](CC)(Cl)Cl
diethyl zinc,CC[Zn]CC
diisobutyl aluminum chloride,CC(C)C[Al](CC(C)C)Cl
